,R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5,rating
0,0.43922,0.28627,0.17255,0.61961,0.52157,0.27059,0.4549,0.47843,0.34118000000000004,0.27843,0.27451,0.19608,0.38824,0.30196,0.16471,5.0
1,0.05098,0.05098,0.05098,0.94902,0.94902,0.94902,0.74902,0.85098,0.7215699999999999,0.68235,0.85098,0.63922,0.6431399999999999,0.85098,0.58824,5.0
2,0.93333,0.56863,0.058824,0.85098,0.33333,0.1451,0.6705899999999999,0.74902,0.082353,0.42745,0.65098,0.090196,0.31765,0.55686,0.65098,5.0
3,0.76863,0.0,0.0,0.039216,0.5098,0.7568600000000001,0.80392,0.0,0.5098,0.4,0.2549,0.12549000000000002,0.0,0.0,0.0,5.0
4,1.0,0.98431,0.8392200000000001,0.8235299999999999,0.76863,0.72549,0.8862700000000001,0.44314,0.21569,0.6705899999999999,0.32157,0.19608,0.40392,0.21569,0.13725,5.0
5,0.2549,0.30588000000000004,0.42353,0.45098,0.10196,0.10196,0.15294000000000002,0.36471,0.54902,0.25098000000000004,0.11765,0.15294000000000002,0.14902,0.36471,0.65098,5.0
6,0.16863,0.10196,0.043137,0.34902,0.31373,0.27843,0.45098,0.41176,0.4,0.53333,0.53725,0.54902,0.76471,0.72549,0.76078,5.0
7,0.98824,0.011765,0.41961,0.27059,0.090196,0.19608,0.38039,0.2,0.31765,0.43922,0.35686,0.37647,0.18039,0.18039,0.18039,5.0
8,0.96078,0.96078,0.96078,0.7568600000000001,0.7568600000000001,0.7568600000000001,0.23922,0.23922,0.23922,0.59608,0.6,0.59216,1.0,0.29412,0.0,5.0
9,0.36863,0.25882,0.06274500000000001,0.6,0.36863,0.18431,0.76078,0.46667,0.38039,0.89804,0.63137,0.63137,0.97255,0.79608,1.0,5.0
10,0.8392200000000001,0.6549,0.43529,0.52941,0.38039,0.30588000000000004,0.37647,0.22745,0.21569,0.19608,0.12941,0.16863,0.12549000000000002,0.10588,0.12941,5.0
11,0.94902,0.94902,0.94902,0.90588,0.94902,0.83529,0.8784299999999999,0.94902,0.76863,0.41569,0.54902,0.31765,0.97647,0.88235,0.88235,5.0
12,0.66667,0.37647,0.37255,0.73333,0.46275,0.47451,0.7882399999999999,0.49412,0.5098,0.85098,0.53725,0.54118,0.94902,0.6,0.6078399999999999,5.0
13,0.98039,1.0,0.76078,1.0,0.33333,0.46667,0.0,0.29804,0.26667,0.0,0.23137,0.20392,0.0,0.0,0.0,5.0
14,0.10196,0.1098,0.10196,0.27059,0.63922,0.45098,0.12157,0.54902,0.50588,0.67843,0.40784,0.2,0.3607800000000001,0.12157,0.094118,5.0
15,0.54902,0.71765,1.0,0.8196100000000001,0.4,0.9098,1.0,0.3451,0.70196,1.0,0.38824,0.29412,0.7843100000000001,0.9098,0.39216,5.0
16,0.8392200000000001,0.6470600000000001,0.039216,0.6470600000000001,0.46667,0.090196,0.52549,0.4902,0.13333,0.94902,0.62353,0.019608,0.94902,0.71765,0.019608,5.0
17,0.12941,0.039216,0.0078431,0.2549,0.090196,0.035294,0.8549,0.63922,0.51765,0.7411800000000001,0.55294,0.36471,0.23922,0.23137,0.082353,5.0
18,0.52941,0.42745,0.3098,0.6705899999999999,0.56471,0.38824,0.92157,0.9098,0.6352899999999999,0.27843,0.19608,0.16863,0.8,0.6352899999999999,0.29412,5.0
19,0.85098,0.8235299999999999,0.77255,0.25098000000000004,0.21961,0.13333,0.54118,0.54902,0.31765,0.72941,0.74902,0.58431,0.41569,0.45098,0.33725,5.0
20,0.37647,0.42353,0.94902,0.3098,0.35686,0.54902,0.26275,0.27059,0.41176,0.18824,0.18039,0.25098000000000004,0.14902,0.13725,0.14118,5.0
21,0.44706,1.0,0.8862700000000001,0.0,0.43922,0.38039,0.58824,0.25882,0.090196,0.43922,0.15294000000000002,0.031373000000000005,0.89412,0.67843,0.44314,5.0
22,0.45098,0.42745,0.33725,0.8902,1.0,0.33333,0.29412,0.54902,0.41961,0.22745,0.38039,0.35686,1.0,0.73725,0.27059,5.0
23,0.14902,0.058824,0.05098,0.85098,0.2549,0.11765,0.85098,0.47059,0.13725,0.94902,0.8235299999999999,0.44706,0.29804,0.34902,0.21961,5.0
24,0.8392200000000001,0.77255,0.6352899999999999,0.87059,0.19608,0.011765,0.27843,0.7215699999999999,0.58824,0.34118000000000004,0.25882,0.16471,0.7882399999999999,0.7882399999999999,0.054902,5.0
25,0.94902,0.93725,0.92157,0.54902,0.52157,0.48235,0.85098,0.83137,0.8,0.32157,0.33333,0.34902,0.5019600000000001,0.56471,0.65098,5.0
26,0.80784,0.44314,0.46667,0.94902,0.65098,0.6470600000000001,0.5098,0.6470600000000001,0.5764699999999999,0.94902,0.84314,0.67451,0.70196,0.73333,0.4902,5.0
27,0.58039,0.082353,0.082353,0.3607800000000001,0.015686000000000002,0.0078431,0.7803899999999999,0.80784,0.81176,0.19216,0.21176,0.20392,0.0,0.0,0.0039216,5.0
28,0.85098,0.1098,0.043137,0.94902,0.63137,0.44706,0.34902,0.17647000000000002,0.078431,0.8784299999999999,0.76078,0.6117600000000001,0.89804,0.33333,0.23922,5.0
29,0.94902,0.72549,0.31373,0.94902,0.93725,0.89412,0.67843,0.85098,0.42353,0.85098,0.21176,0.44706,0.94902,0.56863,0.63922,5.0
30,0.2549,0.20392,0.17255,0.082353,0.51765,0.44314,0.59216,0.6862699999999999,0.1451,0.7921600000000001,0.77255,0.20784,1.0,1.0,1.0,5.0
31,0.82745,0.0,1.0,0.9098,0.047059,0.47843,1.0,0.83529,0.0,1.0,0.32549,0.05098,0.9098,0.11373,0.090196,5.0
32,0.74902,0.21569,0.023529,0.45098,0.18824,0.035294,0.85098,0.33725,0.043137,0.94902,0.6078399999999999,0.18824,0.94902,0.7098,0.26667,5.0
33,0.29804,0.13333,0.12549000000000002,0.21176,0.035294,0.14118,0.16863,0.0,0.1098,0.12941,0.011765,0.090196,0.1098,0.0,0.06666699999999999,5.0
34,0.27843,0.1451,0.21176,0.41961,0.16471,0.28235,0.58824,0.15686,0.35294000000000003,0.69804,0.098039,0.3607800000000001,1.0,0.0,0.44706,5.0
35,0.3098,0.56471,0.57255,0.90196,0.49804,0.13333,0.7098,0.8235299999999999,0.16471,1.0,0.98824,0.7882399999999999,0.86275,0.12941,0.47059,5.0
36,0.8549,0.0,0.47059,0.94902,0.3607800000000001,0.7451,0.85098,0.015686000000000002,0.55686,1.0,0.56863,0.56863,0.6902,0.18824,0.38039,5.0
37,0.33725,0.33333,0.1451,0.6705899999999999,0.53725,0.4902,0.58039,0.42353,0.32157,0.21961,0.15686,0.10588,0.38824,0.19608,0.17647000000000002,5.0
38,0.8,0.20392,0.13725,1.0,0.69412,0.42353,0.8,0.92157,1.0,0.41569,0.62353,0.8,0.14118,0.38431,0.6,5.0
39,0.019608,0.85882,0.65098,0.11765,0.31373,0.32157,1.0,0.58824,0.12157,0.8,0.60392,0.019608,1.0,0.8902,0.5607800000000001,5.0
40,0.86667,0.82745,0.8235299999999999,0.63137,0.7921600000000001,0.26275,0.22745,0.11373,0.51765,0.74902,0.6117600000000001,0.0,0.41961,0.06666699999999999,0.027451,5.0
41,0.27451,0.078431,0.72941,0.67451,0.7058800000000001,0.015686000000000002,0.082353,0.39608,0.48235,0.54118,0.47843,0.14902,0.56471,0.054902,0.039216,5.0
42,0.45098,0.21961,0.086275,0.54902,0.35294000000000003,0.1098,0.85098,0.7921600000000001,0.67843,0.54902,0.48627,0.36863,0.74902,0.71373,0.53333,5.0
43,0.54118,0.49412,0.61961,0.65882,0.63137,0.76078,0.70196,0.7529399999999999,0.8196100000000001,0.79608,0.89804,0.85098,0.92941,1.0,0.84314,5.0
44,0.45098,0.32157,0.24706,0.94902,0.94902,0.94902,0.71765,0.74902,0.47843,0.85098,0.63922,0.73725,0.85098,0.42353,0.58039,5.0
45,0.20392,0.25882,0.27059,0.83137,1.0,0.93725,0.15686,0.19608,0.16078,0.2902,0.29804,0.20392,0.22353,0.098039,0.047059,5.0
46,0.3451,0.3098,0.27451,0.40392,0.34118000000000004,0.2902,0.46667,0.35686,0.27451,0.52549,0.39216,0.29412,0.59608,0.4549,0.32157,5.0
47,0.0,0.15686,0.11765,0.0,0.35294000000000003,0.23529,0.0,0.54902,0.39216,0.0,0.7451,0.62745,0.5098,0.94118,0.94118,5.0
48,0.3098,0.3607800000000001,0.29804,0.4902,0.47843,0.42353,0.65882,0.58039,0.53725,0.76863,0.59608,0.6352899999999999,0.24706,0.18039,0.25882,5.0
49,0.18824,0.16471,0.18431,0.39216,0.4,0.1451,0.6,0.58039,0.27059,0.81176,0.7882399999999999,0.49804,0.95294,1.0,0.72941,5.0
50,0.74902,0.69804,0.66667,0.65098,0.48627,0.28627,0.054902,0.18431,0.34902,0.06666699999999999,0.27451,0.54902,0.12549000000000002,0.3098,0.6549,5.0
51,0.94902,0.94902,0.94902,0.54902,0.21961,0.027451,0.65098,0.32549,0.039216,0.94902,0.93725,0.76078,0.34902,0.61569,0.85098,5.0
52,1.0,0.63922,0.6,0.9098,0.8,0.44314,0.55686,1.0,0.53333,0.86275,0.48627,1.0,0.44314,0.73725,0.9098,5.0
53,0.23137,0.3098,0.19608,0.65882,0.76078,0.5451,0.88235,0.94118,0.7411800000000001,1.0,0.96471,0.8156899999999999,0.65882,0.1451,0.23922,5.0
54,0.54902,0.35686,0.18824,0.65098,0.56863,0.24706,0.25882,0.47843,0.41569,0.51765,0.15294000000000002,0.26275,0.18039,0.054902,0.086275,5.0
55,0.28627,0.51373,0.96471,0.30588000000000004,0.50588,0.7098,0.06274500000000001,0.11765,0.36863,0.06274500000000001,0.06666699999999999,0.77255,0.87059,0.95686,1.0,5.0
56,0.29412,0.31765,0.34902,0.7098,0.29804,0.10588,0.25098000000000004,0.23529,0.18431,0.44706,0.42353,0.34902,0.6705899999999999,0.6352899999999999,0.52157,5.0
57,0.11765,0.15686,0.2,0.32157,0.34902,0.34118000000000004,0.89804,0.90588,0.89804,0.83137,0.6431399999999999,0.5019600000000001,0.16863,0.10588,0.10588,5.0
58,0.32549,0.094118,0.06666699999999999,0.5607800000000001,0.40784,0.1098,0.56863,0.43529,0.17647000000000002,0.58039,0.46275,0.21176,0.38039,0.36471,0.12941,5.0
