Id,Name,Target,L1,L2,L3,L4,L5,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
5716,"Blue-Gray Game",4.3333,60,75,30,50,70,5,5,5,5,5,-15,-20,-5,-15,-20
10404,"Fresh Citrus",4,60,70,85,90,100,70,25,-50,-80,-20,70,75,85,85,95
10680,"cmyk exact",4,0,100,65,95,100,0,0,100,-45,-20,0,5,-60,-10,95
11013,"Masodheta",4,20,70,100,55,0,-10,-35,0,60,0,0,5,5,10,0
11930,"spicy brown",4,75,55,100,50,90,-5,0,0,-5,-5,80,20,15,55,90
12229,"Strong and Milky",4,85,90,95,70,45,30,-30,-5,5,5,10,-5,35,10,10
12542,"Ancient",4,90,35,60,20,45,-5,-25,-5,25,40,0,0,40,-10,-15
12705,"Under a Brown Sky",4,40,25,60,35,15,-30,-10,5,5,10,15,0,25,40,20
16056,"Fleshy",4,75,50,85,80,70,-20,-15,15,20,20,-15,-10,30,40,35
16336,"wacko",4,60,80,55,65,90,75,5,15,75,-85,70,80,-60,-55,85
17417,"Dark chocolate",4,10,15,10,15,10,10,20,25,20,15,10,20,15,15,10
17880,"warm rotted plum",4,20,20,35,10,5,5,0,20,25,10,20,15,-10,-15,0
19943,"Desert trip",4,50,55,65,70,55,70,60,30,20,45,60,65,70,70,65
19960,"Acid baby",4,90,80,70,65,60,-70,-50,-25,-5,5,40,15,-25,-45,-50
24546,"In Advance Of...",4,50,35,30,25,10,20,-20,-5,-5,25,60,20,0,-5,-35
30130,"not yet...",4,90,40,45,70,100,-15,0,5,5,5,0,5,15,30,5
30168,"Welcome Home",4,30,40,65,90,65,30,35,5,-5,0,25,30,20,20,10
31344,"black parade",4,30,10,5,40,25,5,5,5,60,0,5,5,0,45,5
31723,"Palm Sunset",4,65,60,45,60,75,60,40,10,-20,-55,50,30,30,40,35
32281,"Urban",4,80,55,50,40,25,-10,-10,-5,-5,0,35,25,25,20,15
32305,"traditional",4,80,85,70,60,35,-20,-20,-20,-15,-10,45,45,40,35,20
32782,"Khamsin",4,50,100,30,75,90,0,-5,0,-5,-5,20,30,10,25,30
32984,"water  clay",4,40,55,75,55,35,10,20,-10,-5,-5,25,55,-25,-30,-15
32988,"instinct",4,55,50,60,70,80,85,75,70,50,25,25,65,70,75,80
32991,"orange green",4,50,60,70,80,65,75,70,50,20,-30,65,70,75,85,45
33225,"Grandma's Batik",4.2,40,55,65,40,25,-25,0,15,45,45,20,45,60,10,-15
34012,"fungus_pastels",4,90,90,85,90,95,0,10,25,-5,-40,50,25,-15,-20,0
34163,"Indiana",4,70,80,30,95,75,-5,-30,0,-5,-30,-10,-20,35,45,75
34203,"Tarheel Luv",4,60,50,20,40,35,15,5,5,10,5,-50,-15,-15,-35,-10
34275,"Stipey",4,15,65,90,100,75,40,75,-15,-30,40,-45,5,30,70,75
34584,"Ventura CA",4,100,85,75,60,40,0,-15,-40,-30,-15,5,-25,-10,-5,-20
34586,"Lotus Flower",4,25,55,100,100,100,-25,-45,-15,0,-10,20,40,80,5,-5
34595,"Couch Pillws",4,50,35,20,35,55,5,10,5,0,0,10,25,10,40,35
34790,"Almost Autumn",4,90,80,40,50,70,-85,-50,10,55,40,80,30,20,55,75
36046,"Chupa chup",4,90,50,60,45,25,-5,75,80,70,45,85,35,20,30,25
36433,"fade purple",4,75,70,60,40,20,25,25,20,15,10,-40,-35,-30,-20,-10
36583,"San Pellegrino",4,5,55,85,100,50,5,70,-15,0,-50,-10,50,-20,15,45
36806,"Green Purples",4,35,15,75,45,100,60,45,-10,-5,-15,-65,-50,70,50,85
36873,"purple analogy",4,60,60,45,50,35,-20,-30,40,10,20,40,5,0,30,-35
37260,"Flag of Poland",4,100,55,0,95,50,0,85,0,5,70,5,70,0,5,35
37694,"BlueBerry Bile",4,55,45,45,40,35,-5,25,35,20,35,45,45,25,-25,15
39271,"Four Twenty",4,75,55,75,70,15,-45,-45,-40,-60,-20,30,45,60,55,15
39951,"Slate Moss",4,25,60,30,30,35,-15,-10,0,-5,0,0,0,0,5,-5
40102,"bleu CCIFJ",4,80,45,85,50,95,-5,-5,-15,0,-5,-5,-10,-25,-5,-5
40249,"Leef!",4,45,65,70,85,100,70,60,40,-5,0,60,70,75,75,5
40704,"Kuler Colours",4,55,100,10,5,80,0,0,0,0,-10,5,0,5,0,-20
41351,"Yuengling",5,100,85,65,50,30,0,5,45,35,20,20,10,55,40,25
41437,"Gambit",5,45,55,50,35,0,70,-5,75,15,0,60,-40,-10,30,0
41573,"Fall Meets Spring (Web Safe)",4.5,60,100,100,90,50,-15,0,-5,15,60,-5,5,25,35,40
41698,"mcp_3",4,75,90,85,65,40,-10,-15,-10,-10,-5,25,30,25,20,15
41827,"Kyle's Travel Guide",4,20,25,55,75,50,0,0,-10,5,50,0,0,5,15,55
41952,"Simple cool",4,95,85,40,30,10,0,0,65,0,0,10,10,50,0,-5
42098,"grey and orange",4,50,70,80,80,65,0,-10,-10,15,45,5,10,5,75,65
42129,"Watermelon Strawberry",4,65,45,95,65,95,60,55,-60,-50,-50,30,40,40,35,35
42333,"powder blue",4,85,25,50,70,95,5,5,5,5,5,-5,0,-5,-5,-10
42490,"Terra",4,70,60,65,95,75,50,55,55,0,20,30,55,75,45,60
